date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,25,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,15,0,0,0
2020-02-01,17,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,31,0,0,0
2020-02-07,29,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,37,0,0,0
2020-02-16,36,0,0,0
2020-02-17,46,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,10,0,0,0
2020-02-24,30,0,0,0
2020-02-25,35,0,0,0
2020-02-26,28,0,0,0
2020-02-27,63,0,0,0
2020-02-28,68,0,0,0
2020-02-29,83,0,0,0
2020-03-01,151,0,0,0
2020-03-02,201,0,0,0
2020-03-03,225,0,0,0
2020-03-04,231,0,0,0
2020-03-05,243,0,0,0
2020-03-06,208,0,0,0
2020-03-07,176,0,0,0
2020-03-08,210,0,0,0
2020-03-09,382,0,0,0
2020-03-10,424,0,0,0
2020-03-11,524,0,0,0
2020-03-12,716,0,0,0
2020-03-13,810,0,0,0
2020-03-14,836,0,0,0
2020-03-15,984,0,0,0
2020-03-16,1237,0,0,0
2020-03-17,1178,0,0,0
2020-03-18,1166,0,0,0
2020-03-19,1151,0,0,0
2020-03-20,1113,0,0,0
2020-03-21,978,0,0,0
2020-03-22,860,0,0,0
2020-03-23,1664,0,0,0
2020-03-24,1793,0,0,0
2020-03-25,1656,0,0,0
2020-03-26,1697,0,0,0
2020-03-27,1702,0,0,0
2020-03-28,1371,0,0,0
2020-03-29,1262,0,0,0
2020-03-30,1821,0,0,0
2020-03-31,1892,0,0,0
2020-04-01,1892,0.0005285412262156448,9.160941022552316e-05,0.0029338070713750388
2020-04-02,1596,0,0,0
2020-04-03,1699,0,0,0
2020-04-04,1253,0,0,0
2020-04-05,998,0,0,0
2020-04-06,1736,0,0,0
2020-04-07,1470,0,0,0
2020-04-08,1530,0,0,0
2020-04-09,1147,0,0,0
2020-04-10,1246,0,0,0
2020-04-11,1019,0,0,0
2020-04-12,847,0,0,0
2020-04-13,1343,0,0,0
2020-04-14,1242,0,0,0
2020-04-15,1171,0,0,0
2020-04-16,1135,0,0,0
2020-04-17,1017,0,0,0
2020-04-18,774,0,0,0
2020-04-19,662,0,0,0
2020-04-20,1129,0,0,0
2020-04-21,1061,0,0,0
2020-04-22,1093,0,0,0
2020-04-23,943,0,0,0
2020-04-24,918,0,0,0
2020-04-25,564,0,0,0
2020-04-26,479,0,0,0
2020-04-27,1049,0,0,0
2020-04-28,904,0,0,0
2020-04-29,1122,0,0,0
2020-04-30,1128,0,0,0
2020-05-01,1009,0,0,0
2020-05-02,603,0,0,0
2020-05-03,504,0.005952380952380952,0.0019195821926513276,0.016447039585127776
2020-05-04,1001,0,0,0
2020-05-05,929,0,0,0
2020-05-06,811,0,0,0
2020-05-07,737,0,0,0
2020-05-08,675,0,0,0
2020-05-09,503,0,0,0
2020-05-10,454,0,0,0
2020-05-11,796,0,0,0
2020-05-12,786,0,0,0
2020-05-13,772,0,0,0
2020-05-14,792,0,0,0
2020-05-15,524,0,0,0
2020-05-16,296,0,0,0
2020-05-17,248,0,0,0
2020-05-18,575,0,0,0
2020-05-19,683,0,0,0
2020-05-20,501,0,0,0
2020-05-21,478,0,0,0
2020-05-22,612,0,0,0
2020-05-23,277,0,0,0
2020-05-24,275,0,0,0
2020-05-25,305,0,0,0
2020-05-26,535,0,0,0
2020-05-27,528,0,0,0
2020-05-28,353,0,0,0
2020-05-29,373,0,0,0
2020-05-30,281,0,0,0
2020-05-31,214,0,0,0
2020-06-01,521,0,0,0
2020-06-02,601,0,0,0
2020-06-03,400,0,0,0
2020-06-04,454,0,0,0
2020-06-05,410,0,0,0
2020-06-06,223,0,0,0
2020-06-07,356,0,0,0
2020-06-08,623,0,0,0
2020-06-09,536,0,0,0
2020-06-10,599,0,0,0
2020-06-11,750,0,0,0
2020-06-12,687,0,0,0
2020-06-13,642,0,0,0
2020-06-14,566,0,0,0
2020-06-15,856,0,0,0
2020-06-16,747,0.0013386880856760374,0.00023048106434146056,0.007357573413358886
2020-06-17,669,0,0,0
2020-06-18,718,0.001392757660167131,0.0002408591786533142,0.007687031971900617
2020-06-19,741,0,0,0
2020-06-20,423,0,0,0
2020-06-21,481,0.002079002079002079,0.00036405155710921765,0.011585831595224791
2020-06-22,568,0.0017605633802816902,0.0003075923801418653,0.00980175246453529
2020-06-23,616,0,0,0
2020-06-24,700,0,0,0
2020-06-25,571,0,0,0
2020-06-26,476,0,0,0
2020-06-27,378,0,0,0
2020-06-28,275,0,0,0
2020-06-29,593,0,0,0
2020-06-30,585,0,0,0
2020-07-01,622,0,0,0
2020-07-02,748,0,0,0
2020-07-03,521,0,0,0
2020-07-04,326,0,0,0
2020-07-05,296,0,0,0
2020-07-06,668,0,0,0
2020-07-07,717,0,0,0
2020-07-08,823,0,0,0
2020-07-09,751,0,0,0
2020-07-10,593,0.0016863406408094434,0.00029279634716021595,0.00933343890104953
2020-07-11,413,0,0,0
2020-07-12,336,0,0,0
2020-07-13,724,0,0,0
2020-07-14,724,0,0,0
2020-07-15,923,0,0,0
2020-07-16,713,0,0,0
2020-07-17,700,0,0,0
2020-07-18,584,0,0,0
2020-07-19,440,0,0,0
2020-07-20,691,0,0,0
2020-07-21,784,0,0,0
2020-07-22,648,0,0,0
2020-07-23,825,0,0,0
2020-07-24,667,0,0,0
2020-07-25,466,0,0,0
2020-07-26,324,0,0,0
2020-07-27,826,0.0012106537530266344,0.00021042433427758623,0.006720415339511652
2020-07-28,673,0,0,0
2020-07-29,685,0,0,0
2020-07-30,622,0,0,0
2020-07-31,581,0,0,0
2020-08-01,544,0.001838235294117647,0.0003233699201969411,0.010300780744285337
2020-08-02,440,0,0,0
2020-08-03,912,0,0,0
2020-08-04,749,0,0,0
2020-08-05,598,0,0,0
2020-08-06,711,0,0,0
2020-08-07,576,0.001736111111111111,0.0002992491439505428,0.00953771748149301
2020-08-08,399,0,0,0
2020-08-09,450,0,0,0
2020-08-10,804,0,0,0
2020-08-11,753,0,0,0
2020-08-12,687,0,0,0
2020-08-13,788,0,0,0
2020-08-14,713,0,0,0
2020-08-15,416,0,0,0
2020-08-16,369,0,0,0
2020-08-17,870,0,0,0
2020-08-18,792,0,0,0
2020-08-19,772,0,0,0
2020-08-20,944,0,0,0
2020-08-21,770,0,0,0
2020-08-22,363,0,0,0
2020-08-23,359,0,0,0
2020-08-24,684,0,0,0
2020-08-25,732,0,0,0
2020-08-26,985,0,0,0
2020-08-27,906,0,0,0
2020-08-28,747,0,0,0
2020-08-29,534,0,0,0
2020-08-30,647,0,0,0
2020-08-31,1034,0,0,0
2020-09-01,935,0,0,0
2020-09-02,769,0,0,0
2020-09-03,953,0,0,0
2020-09-04,813,0,0,0
2020-09-05,440,0,0,0
2020-09-06,317,0,0,0
2020-09-07,893,0,0,0
2020-09-08,841,0,0,0
2020-09-09,1387,0,0,0
2020-09-10,1663,0,0,0
2020-09-11,888,0,0,0
2020-09-12,391,0,0,0
2020-09-13,363,0,0,0
2020-09-14,846,0,0,0
2020-09-15,835,0,0,0
2020-09-16,2009,0,0,0
2020-09-17,973,0,0,0
2020-09-18,1261,0.0023790642347343376,0.0007998858301257183,0.006889815770447352
2020-09-19,802,0,0,0
2020-09-20,691,0,0,0
2020-09-21,1491,0,0,0
2020-09-22,1044,0,0,0
2020-09-23,1343,0,0,0
2020-09-24,2632,0,0,0
2020-09-25,1131,0,0,0
2020-09-26,498,0,0,0
2020-09-27,1075,0,0,0
2020-09-28,818,0,0,0
2020-09-29,1279,0,0,0
2020-09-30,1113,0,0,0
2020-10-01,2139,0,0,0
2020-10-02,1452,0,0,0
2020-10-03,1272,0,0,0
2020-10-04,690,0,0,0
2020-10-05,2276,0,0,0
2020-10-06,1994,0,0,0
2020-10-07,2016,0,0,0
2020-10-08,1874,0,0,0
2020-10-09,1579,0,0,0
2020-10-10,829,0,0,0
2020-10-11,1016,0,0,0
2020-10-12,2137,0,0,0
2020-10-13,1603,0,0,0
2020-10-14,1951,0,0,0
2020-10-15,2529,0,0,0
2020-10-16,1509,0,0,0
2020-10-17,1234,0,0,0
2020-10-18,764,0,0,0
2020-10-19,1913,0,0,0
2020-10-20,2146,0,0,0
2020-10-21,2506,0,0,0
2020-10-22,2015,0,0,0
2020-10-23,1516,0,0,0
2020-10-24,1557,0,0,0
2020-10-25,828,0,0,0
2020-10-26,2680,0,0,0
2020-10-27,1763,0,0,0
2020-10-28,1399,0,0,0
2020-10-29,2127,0,0,0
2020-10-30,2206,0,0,0
2020-10-31,1027,0,0,0
2020-11-01,2526,0,0,0
2020-11-02,3697,0,0,0
2020-11-03,2222,0.00045004500450045,7.87727565027945e-05,0.002523459846456808
2020-11-04,3309,0,0,0
2020-11-05,2982,0.001676727028839705,0.000712568617797291,0.003898467487505533
2020-11-06,2313,0,0,0
2020-11-07,1771,0,0,0
2020-11-08,2629,0.0003803727653100038,6.679086900796733e-05,0.0021402169096214753
2020-11-09,2979,0,0,0
2020-11-10,2287,0.00043725404459991256,7.661869841839593e-05,0.002454577550058969
2020-11-11,2612,0,0,0
2020-11-12,3236,0,0,0
2020-11-13,2939,0.0003402517863218782,5.9376841806623746e-05,0.0019029714403458423
2020-11-14,2662,0,0,0
2020-11-15,1492,0,0,0
2020-11-16,1696,0,0,0
2020-11-17,2130,0.00046948356807511736,8.218350501607703e-05,0.002632514454164561
2020-11-18,2935,0,0,0
2020-11-19,1370,0,0,0
2020-11-20,1879,0,0,0
2020-11-21,1503,0.0006653359946773121,0.00011583617270585822,0.0037075968323910056
2020-11-22,1719,0,0,0
2020-11-23,2207,0,0,0
2020-11-24,1790,0,0,0
2020-11-25,1677,0,0,0
2020-11-26,1142,0,0,0
2020-11-27,1595,0.0012539184952978057,0.0003386212724835822,0.004490421166138511
2020-11-28,908,0,0,0
2020-11-29,844,0,0,0
2020-11-30,2350,0.000851063829787234,0.00022591896300089436,0.0029986331624335914
2020-12-01,2526,0.000395882818685669,6.771322622081292e-05,0.0021697262262530556
2020-12-02,2223,0,0,0
